target,feature,mean_abs_shap_test,value_shap_corr
Zymoseptoria_tritici_Disease_Severity,Region,0.02734297,0.4825213460456073
Zymoseptoria_tritici_Disease_Severity,Leaf,0.25282782,0.9911091192046293
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Disease_Severity_lag1,0.025448423,0.7933003275466668
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Disease_Severity_lag1,0.003026775,0.5290520896907221
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Crop_Incidence_lag1,0.012323959,0.8691277712646492
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Crop_Incidence_lag1,0.0021404403,0.8495208212583114
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Disease_Severity_lag2,0.034663048,0.8157033463044228
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Disease_Severity_lag2,0.001992554,0.7236483837220852
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Crop_Incidence_lag2,0.04175686,0.7946399560625624
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Crop_Incidence_lag2,0.0043188315,-0.6953403768883296
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Disease_Severity_other_leaf_lag1,0.003489614,-0.8560656335669591
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Disease_Severity_other_leaf_lag1,0.00294188,-0.3754115781330042
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Crop_Incidence_other_leaf_lag1,0.00935615,-0.8861837004634853
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Crop_Incidence_other_leaf_lag1,0.003063207,-0.6041952910650126
Zymoseptoria_tritici_Disease_Severity,autumn_mean_temp,0.032154195,0.7665223937588723
Zymoseptoria_tritici_Disease_Severity,autumn_total_precip,0.002468689,-0.8763332066099121
Zymoseptoria_tritici_Disease_Severity,autumn_rain_days,0.026828295,-0.8189889235842162
Zymoseptoria_tritici_Disease_Severity,autumn_mean_rh,0.0036647313,0.7680946640418792
Zymoseptoria_tritici_Disease_Severity,autumn_mean_wind,0.0029177328,-0.8142495858353822
Zymoseptoria_tritici_Disease_Severity,winter_mean_temp,0.0064774333,-0.6919056461211844
Zymoseptoria_tritici_Disease_Severity,winter_total_precip,0.012766366,0.7912577943855092
Zymoseptoria_tritici_Disease_Severity,winter_rain_days,0.004234278,0.6907995624085826
Zymoseptoria_tritici_Disease_Severity,winter_mean_rh,0.017308522,-0.7807279985227327
Zymoseptoria_tritici_Disease_Severity,winter_mean_wind,0.0021531105,-0.895250266650255
Zymoseptoria_tritici_Disease_Severity,spring_mean_temp,0.014830309,0.6912262308640235
Zymoseptoria_tritici_Disease_Severity,spring_total_precip,0.0059047644,-0.2814664746707815
Zymoseptoria_tritici_Disease_Severity,spring_rain_days,0.0032247335,0.7230514238329027
Zymoseptoria_tritici_Disease_Severity,spring_mean_rh,0.089361094,0.8027398178782412
Zymoseptoria_tritici_Disease_Severity,spring_mean_wind,0.0026965193,0.2816340799737627
Zymoseptoria_tritici_Disease_Severity,spring_to_june_mean_temp,0.0016901022,-0.5277453042964168
Zymoseptoria_tritici_Disease_Severity,spring_to_june_total_precip,0.006457375,0.8045761786760289
Zymoseptoria_tritici_Disease_Severity,spring_to_june_rain_days,0.001431321,0.8487501085890882
Zymoseptoria_tritici_Disease_Severity,spring_to_june_mean_rh,0.122517094,0.8045053526104035
Zymoseptoria_tritici_Disease_Severity,spring_to_june_mean_wind,0.001982232,-0.4512880949833519
Zymoseptoria_tritici_Disease_Severity,autumn_thermal_time,0.011902165,0.7821917625825834
Zymoseptoria_tritici_Disease_Severity,autumn_wetness_hours,0.0055968575,-0.6795777096362108
Zymoseptoria_tritici_Disease_Severity,autumn_wet_day_frac,0.0034049642,-0.7454836258178643
Zymoseptoria_tritici_Disease_Severity,autumn_splash_risk,0.0023040003,-0.7987267302870428
Zymoseptoria_tritici_Disease_Severity,winter_thermal_time,0.0008752922,-0.39774576646881105
Zymoseptoria_tritici_Disease_Severity,winter_wetness_hours,0.0073788487,-0.7623307409265996
Zymoseptoria_tritici_Disease_Severity,winter_wet_day_frac,0.001380756,-0.3365273921587021
Zymoseptoria_tritici_Disease_Severity,winter_splash_risk,0.0024375296,0.830952241816843
