target,feature,family,mean_abs_shap_train,mean_abs_shap_test,gain_importance
Zymoseptoria_tritici_Disease_Severity,Region,region / leaf,0.029919872,0.02734297,0.008531568
Zymoseptoria_tritici_Disease_Severity,Leaf,region / leaf,0.23267122,0.25282782,0.042052653
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Disease_Severity_lag1,disease history,0.028852662,0.025448423,0.018871743
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Disease_Severity_lag1,disease history,0.0034766588,0.003026775,0.007329073
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Crop_Incidence_lag1,disease history,0.014345437,0.012323959,0.018986166
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Crop_Incidence_lag1,disease history,0.0019992264,0.0021404403,0.006039949
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Disease_Severity_lag2,disease history,0.032248035,0.034663048,0.037571855
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Disease_Severity_lag2,disease history,0.0015595073,0.001992554,0.0068646087
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Crop_Incidence_lag2,disease history,0.034829777,0.04175686,0.028398162
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Crop_Incidence_lag2,disease history,0.0039104326,0.0043188315,0.009340383
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Disease_Severity_other_leaf_lag1,disease history,0.0040037907,0.003489614,0.0092999935
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Disease_Severity_other_leaf_lag1,disease history,0.00302619,0.00294188,0.004769504
Zymoseptoria_tritici_Disease_Severity,Zymoseptoria_tritici_Crop_Incidence_other_leaf_lag1,disease history,0.007450917,0.00935615,0.010171512
Zymoseptoria_tritici_Disease_Severity,Yellow_rust_Crop_Incidence_other_leaf_lag1,disease history,0.0033063083,0.003063207,0.010352595
Zymoseptoria_tritici_Disease_Severity,autumn_mean_temp,seasonal weather,0.035999615,0.032154195,0.017265832
Zymoseptoria_tritici_Disease_Severity,autumn_total_precip,seasonal weather,0.0021228895,0.002468689,0.005098528
Zymoseptoria_tritici_Disease_Severity,autumn_rain_days,seasonal weather,0.020114591,0.026828295,0.009999203
Zymoseptoria_tritici_Disease_Severity,autumn_mean_rh,seasonal weather,0.004204099,0.0036647313,0.0075902604
Zymoseptoria_tritici_Disease_Severity,autumn_mean_wind,seasonal weather,0.0022006487,0.0029177328,0.0050735353
Zymoseptoria_tritici_Disease_Severity,winter_mean_temp,seasonal weather,0.0049894718,0.0064774333,0.005870159
Zymoseptoria_tritici_Disease_Severity,winter_total_precip,seasonal weather,0.011027092,0.012766366,0.008887832
Zymoseptoria_tritici_Disease_Severity,winter_rain_days,seasonal weather,0.0036163994,0.004234278,0.008910218
Zymoseptoria_tritici_Disease_Severity,winter_mean_rh,seasonal weather,0.016072065,0.017308522,0.0074709756
Zymoseptoria_tritici_Disease_Severity,winter_mean_wind,seasonal weather,0.002420628,0.0021531105,0.0058787903
Zymoseptoria_tritici_Disease_Severity,spring_mean_temp,seasonal weather,0.019143451,0.014830309,0.019722277
Zymoseptoria_tritici_Disease_Severity,spring_total_precip,seasonal weather,0.0054506254,0.0059047644,0.0076404912
Zymoseptoria_tritici_Disease_Severity,spring_rain_days,seasonal weather,0.0027576266,0.0032247335,0.0042440295
Zymoseptoria_tritici_Disease_Severity,spring_mean_rh,seasonal weather,0.07888487,0.089361094,0.029295415
Zymoseptoria_tritici_Disease_Severity,spring_mean_wind,seasonal weather,0.0025825873,0.0026965193,0.0057140426
Zymoseptoria_tritici_Disease_Severity,spring_to_june_mean_temp,seasonal weather,0.0018026978,0.0016901022,0.009394479
Zymoseptoria_tritici_Disease_Severity,spring_to_june_total_precip,seasonal weather,0.0055906037,0.006457375,0.012580784
Zymoseptoria_tritici_Disease_Severity,spring_to_june_rain_days,seasonal weather,0.0018358892,0.001431321,0.006758218
Zymoseptoria_tritici_Disease_Severity,spring_to_june_mean_rh,seasonal weather,0.11962761,0.122517094,0.027593914
Zymoseptoria_tritici_Disease_Severity,spring_to_june_mean_wind,seasonal weather,0.0020643969,0.001982232,0.005465389
Zymoseptoria_tritici_Disease_Severity,autumn_thermal_time,thermal / wetness / splash,0.012562563,0.011902165,0.019691817
Zymoseptoria_tritici_Disease_Severity,autumn_wetness_hours,thermal / wetness / splash,0.0038452253,0.0055968575,0.006287114
Zymoseptoria_tritici_Disease_Severity,autumn_wet_day_frac,thermal / wetness / splash,0.0018765843,0.0034049642,0.0064436547
Zymoseptoria_tritici_Disease_Severity,autumn_splash_risk,thermal / wetness / splash,0.0023265188,0.0023040003,0.006008335
Zymoseptoria_tritici_Disease_Severity,winter_thermal_time,thermal / wetness / splash,0.0006862266,0.0008752922,0.0048810006
Zymoseptoria_tritici_Disease_Severity,winter_wetness_hours,thermal / wetness / splash,0.006726562,0.0073788487,0.009352507
Zymoseptoria_tritici_Disease_Severity,winter_wet_day_frac,thermal / wetness / splash,0.0012332199,0.001380756,0.0046821386
Zymoseptoria_tritici_Disease_Severity,winter_splash_risk,thermal / wetness / splash,0.0018872643,0.0024375296,0.004681358
Zymoseptoria_tritici_Disease_Severity,spring_thermal_time,thermal / wetness / splash,0.004747923,0.0036642025,0.020245817
Zymoseptoria_tritici_Disease_Severity,spring_wetness_hours,thermal / wetness / splash,0.0062050177,0.007020404,0.011088071
Zymoseptoria_tritici_Disease_Severity,spring_wet_day_frac,thermal / wetness / splash,0.0067749685,0.006560573,0.009186663
Zymoseptoria_tritici_Disease_Severity,spring_splash_risk,thermal / wetness / splash,0.004376877,0.004621112,0.0061937543
Zymoseptoria_tritici_Disease_Severity,spring_to_june_thermal_time,thermal / wetness / splash,0.00028886768,0.000326895,0.0041536405
Zymoseptoria_tritici_Disease_Severity,spring_to_june_wetness_hours,thermal / wetness / splash,0.018224861,0.01896233,0.02060403
Zymoseptoria_tritici_Disease_Severity,spring_to_june_wet_day_frac,thermal / wetness / splash,0.0022663784,0.002203349,0.005320168
Zymoseptoria_tritici_Disease_Severity,spring_to_june_splash_risk,thermal / wetness / splash,0.00085949944,0.00092328154,0.0039214687
Zymoseptoria_tritici_Disease_Severity,season_total_thermal_time,thermal / wetness / splash,0.008328897,0.0075040027,0.013098175
Zymoseptoria_tritici_Disease_Severity,season_total_wetness_hours,thermal / wetness / splash,0.0032322588,0.003909082,0.005860171
Zymoseptoria_tritici_Disease_Severity,season_total_wet_day_frac,thermal / wetness / splash,0.0022935267,0.0022546353,0.0057065915
Zymoseptoria_tritici_Disease_Severity,season_total_splash_risk,thermal / wetness / splash,0.001030639,0.0009339315,0.0047684885
Zymoseptoria_tritici_Disease_Severity,fungicide_smoothed,fungicide,0.014858937,0.017384956,0.014597505
Zymoseptoria_tritici_Disease_Severity,fungicide_decay_dose,fungicide,0.07133865,0.05046905,0.025079364
Zymoseptoria_tritici_Disease_Severity,fungicide_residual_at_survey,fungicide,0.039811175,0.0326818,0.023162013
Zymoseptoria_tritici_Disease_Severity,Unknown_ag_12,agronomic,0.00667877,0.0049785716,0.0068862736
Zymoseptoria_tritici_Disease_Severity,Cereals_ag_8_3,agronomic,0.028232545,0.022653837,0.00847045
Zymoseptoria_tritici_Disease_Severity,Percentage of fields with wheat thrice in previous 4 years (%)_ag_11,agronomic,0.001145415,0.0015844436,0.005279593
Zymoseptoria_tritici_Disease_Severity,sow_offset,sowing date,0.0085288,0.0071407566,0.012684827
Zymoseptoria_tritici_Disease_Severity,prop_anth,land use,0.0022051637,0.004046114,0.004506295
Zymoseptoria_tritici_Disease_Severity,prop_nature,land use,0.0028611198,0.0041065686,0.0052027623
Zymoseptoria_tritici_Disease_Severity,gs31_39_days,growth-stage weather,0.001524449,0.0017611024,0.0072779083
Zymoseptoria_tritici_Disease_Severity,gs31_39_mean_temp,growth-stage weather,0.00556231,0.0057588452,0.0079122055
Zymoseptoria_tritici_Disease_Severity,gs31_39_total_precip,growth-stage weather,0.011111726,0.011387963,0.011684053
Zymoseptoria_tritici_Disease_Severity,gs31_39_wetness_hours,growth-stage weather,0.002656613,0.0029283273,0.009938885
Zymoseptoria_tritici_Disease_Severity,gs31_39_splash_risk,growth-stage weather,0.018758662,0.019098254,0.014446187
Zymoseptoria_tritici_Disease_Severity,gs39_survey_days,growth-stage weather,0.0057213814,0.005605126,0.013001147
Zymoseptoria_tritici_Disease_Severity,gs39_survey_mean_temp,growth-stage weather,0.0059049698,0.0064599914,0.005605093
Zymoseptoria_tritici_Disease_Severity,gs39_survey_total_precip,growth-stage weather,0.07025919,0.081956364,0.04832863
Zymoseptoria_tritici_Disease_Severity,gs39_survey_wetness_hours,growth-stage weather,0.09661496,0.10263193,0.06690459
Zymoseptoria_tritici_Disease_Severity,gs39_survey_splash_risk,growth-stage weather,0.054157995,0.05666266,0.058917336
