target,Leaf,alpha,kind,n,coverage,mean_width,first_year,nominal
Yellow_rust_Crop_Incidence,L1,0.1,conformal,202,83.66336633663366,8.564554583049086,2001,90.0
Yellow_rust_Crop_Incidence,L1,0.1,gaussian,202,87.12871287128714,9.06943298026978,2001,90.0
Yellow_rust_Crop_Incidence,L1,0.2,conformal,202,73.26732673267327,6.932169230110368,2001,80.0
Yellow_rust_Crop_Incidence,L1,0.2,gaussian,202,80.19801980198021,7.577429042344449,2001,80.0
Yellow_rust_Crop_Incidence,L2,0.1,conformal,202,82.17821782178217,8.077213841225472,2001,90.0
Yellow_rust_Crop_Incidence,L2,0.1,gaussian,202,84.65346534653465,9.432557111214832,2001,90.0
Yellow_rust_Crop_Incidence,L2,0.2,conformal,202,75.74257425742574,6.574159646567363,2001,80.0
Yellow_rust_Crop_Incidence,L2,0.2,gaussian,202,79.70297029702971,7.880416618482488,2001,80.0
Yellow_rust_Disease_Severity,L1,0.1,conformal,202,94.55445544554455,0.09720742651967808,2001,90.0
Yellow_rust_Disease_Severity,L1,0.1,gaussian,202,97.02970297029702,0.12667465688673066,2001,90.0
Yellow_rust_Disease_Severity,L1,0.2,conformal,202,88.61386138613861,0.05780193537757123,2001,80.0
Yellow_rust_Disease_Severity,L1,0.2,gaussian,202,95.54455445544554,0.10035685868881393,2001,80.0
Yellow_rust_Disease_Severity,L2,0.1,conformal,202,92.07920792079209,0.0695158591338848,2001,90.0
Yellow_rust_Disease_Severity,L2,0.1,gaussian,202,95.04950495049505,0.09223524776972536,2001,90.0
Yellow_rust_Disease_Severity,L2,0.2,conformal,202,85.14851485148515,0.046105675569661,2001,80.0
Yellow_rust_Disease_Severity,L2,0.2,gaussian,202,93.06930693069307,0.07373947252478778,2001,80.0
Zymoseptoria_tritici_Crop_Incidence,L1,0.1,conformal,202,87.12871287128714,65.74328125687401,2001,90.0
Zymoseptoria_tritici_Crop_Incidence,L1,0.1,gaussian,202,83.66336633663366,59.99661855460582,2001,90.0
Zymoseptoria_tritici_Crop_Incidence,L1,0.2,conformal,202,70.29702970297029,46.662641617652206,2001,80.0
Zymoseptoria_tritici_Crop_Incidence,L1,0.2,gaussian,202,71.78217821782178,47.7741791797387,2001,80.0
Zymoseptoria_tritici_Crop_Incidence,L2,0.1,conformal,202,92.07920792079209,46.25509561957936,2001,90.0
Zymoseptoria_tritici_Crop_Incidence,L2,0.1,gaussian,202,88.61386138613861,42.67294618216053,2001,90.0
Zymoseptoria_tritici_Crop_Incidence,L2,0.2,conformal,202,80.6930693069307,36.09068079051405,2001,80.0
Zymoseptoria_tritici_Crop_Incidence,L2,0.2,gaussian,202,77.72277227722772,34.54216155873154,2001,80.0
Zymoseptoria_tritici_Disease_Severity,L1,0.1,conformal,202,88.61386138613861,4.5654265432367,2001,90.0
Zymoseptoria_tritici_Disease_Severity,L1,0.1,gaussian,202,87.62376237623762,4.498613301471581,2001,90.0
Zymoseptoria_tritici_Disease_Severity,L1,0.2,conformal,202,76.23762376237624,3.0458243445122757,2001,80.0
Zymoseptoria_tritici_Disease_Severity,L1,0.2,gaussian,202,81.1881188118812,3.386559614980792,2001,80.0
Zymoseptoria_tritici_Disease_Severity,L2,0.1,conformal,202,87.62376237623762,10.831763824641323,2001,90.0
Zymoseptoria_tritici_Disease_Severity,L2,0.1,gaussian,202,87.12871287128714,10.590670156858085,2001,90.0
Zymoseptoria_tritici_Disease_Severity,L2,0.2,conformal,202,77.22772277227723,8.127071390928228,2001,80.0
Zymoseptoria_tritici_Disease_Severity,L2,0.2,gaussian,202,75.24752475247524,7.725857624533723,2001,80.0
