Region,Year,GS31_doy,GS39_doy,GS61_doy,GS75_doy,flagleaf_exposure_days,survey_cum_cdd,survey_gs_progress,gs31_39_days,gs31_39_mean_temp,gs31_39_total_precip,gs31_39_mean_rh,gs31_39_wetness_hours,gs31_39_splash_risk,gs39_survey_days,gs39_survey_mean_temp,gs39_survey_total_precip,gs39_survey_mean_rh,gs39_survey_wetness_hours,gs39_survey_splash_risk,gs61_survey_days,gs61_survey_mean_temp,gs61_survey_total_precip,gs61_survey_mean_rh,gs61_survey_wetness_hours,gs61_survey_splash_risk,pre_survey_14d_days,pre_survey_14d_mean_temp,pre_survey_14d_total_precip,pre_survey_14d_mean_rh,pre_survey_14d_wetness_hours,pre_survey_14d_splash_risk,pre_survey_30d_days,pre_survey_30d_mean_temp,pre_survey_30d_total_precip,pre_survey_30d_mean_rh,pre_survey_30d_wetness_hours,pre_survey_30d_splash_risk
East,1971,114.0,139.0,164.0,186.0,32.0,1236.1000000000001,0.7433743896616948,26.0,10.096153846153847,45.400000000000006,76.1923076923077,201.6,17.0,33.0,11.872727272727271,89.7,80.57575757575758,497.6,60.766666666666666,8.0,11.5875,49.099999999999994,82.0,144.0,33.4,15.0,11.72,64.3,81.53333333333333,278.4,45.5,31.0,11.838709677419354,89.7,81.03225806451613,497.6,60.766666666666666
East,1972,111.0,139.0,164.0,187.0,33.0,1252.7000000000003,0.7619629949394082,29.0,8.982758620689655,51.6,77.58620689655173,364.8,27.033333333333335,34.0,11.797058823529412,81.7,75.94117647058823,563.2,56.72,9.0,11.911111111111111,13.4,79.22222222222223,104.0,6.9,15.0,11.76666666666667,39.4,77.66666666666667,224.0,31.0,31.0,11.906451612903224,77.00000000000003,75.87096774193549,515.2,56.1
East,1973,118.0,143.0,164.0,182.0,28.0,1269.6,0.7848054880806455,26.0,10.150000000000002,71.7,76.11538461538461,348.8,41.08,29.0,14.617241379310348,90.5,73.58620689655173,233.6,61.85333333333333,8.0,15.762500000000003,60.0,70.375,72.0,49.4,15.0,15.540000000000001,60.7,72.33333333333333,84.8,49.4,31.0,14.603225806451617,97.3,73.96774193548387,259.2,68.65333333333334
East,1974,102.0,133.0,157.0,179.0,38.0,1353.4000000000008,0.8793354591857164,32.0,7.884375,36.900000000000006,74.75,305.6,5.9,39.0,13.023076923076923,46.00000000000001,71.82051282051282,302.4,13.333333333333332,15.0,13.353333333333335,29.7,72.66666666666667,179.2,4.633333333333333,15.0,13.353333333333335,29.7,72.66666666666667,179.2,4.633333333333333,31.0,12.880645161290321,42.800000000000004,71.70967741935483,278.4,10.733333333333333
East,1975,112.0,137.0,164.0,185.0,34.0,1266.9000000000003,0.771400326512508,26.0,9.692307692307692,58.2,79.65384615384616,345.6,29.839999999999996,35.0,11.81714285714286,47.300000000000004,74.51428571428572,244.8,30.799999999999997,8.0,14.6375,14.3,73.0,72.0,3.9,15.0,15.266666666666664,14.3,72.8,78.4,3.9,31.0,12.058064516129036,32.1,73.3225806451613,192.0,15.700000000000001
East,1976,111.0,137.0,160.0,177.0,35.0,1372.4000000000003,0.8974360049676842,27.0,9.862962962962964,19.9,71.70370370370371,208.0,0.6600000000000001,36.0,14.294444444444444,51.0,72.22222222222223,211.2,9.38,13.0,16.43846153846154,5.999999999999999,69.38461538461539,27.2,0.0,15.0,16.586666666666666,5.999999999999999,70.06666666666666,28.8,0.0,31.0,14.619354838709677,43.4,72.70967741935483,163.2,9.38
East,1977,117.0,144.0,169.0,189.0,27.0,1191.3999999999994,0.6840913899702208,28.0,9.160714285714286,63.599999999999994,77.42857142857143,372.8,42.82666666666667,28.0,12.189285714285717,30.8,74.25,230.4,21.939999999999998,3.0,10.966666666666667,0.0,73.66666666666667,1.6,0.0,15.0,12.046666666666669,28.400000000000002,77.66666666666667,193.6,21.939999999999998,31.0,12.148387096774195,30.8,73.74193548387096,235.19999999999996,21.939999999999998
East,1978,125.0,149.0,170.0,193.0,22.0,1168.1999999999998,0.675911149396682,25.0,10.212,40.4,80.08,272.00000000000006,33.233333333333334,23.0,14.52608695652174,47.6,74.73913043478261,172.8,25.700000000000003,2.0,15.05,5.6,78.0,28.8,1.1000000000000003,15.0,13.146666666666668,39.900000000000006,73.93333333333334,108.8,25.700000000000003,31.0,13.600000000000003,48.1,75.87096774193549,230.4,25.700000000000003
East,1979,139.0,159.0,179.0,198.0,12.0,1038.7,0.5092543118175451,21.0,12.738095238095237,69.2,79.52380952380952,371.2,46.553333333333335,13.0,14.199999999999998,12.5,78.0,92.8,2.9133333333333336,,,,,,,15.0,13.986666666666663,19.0,77.8,116.8,2.9133333333333336,31.0,13.525806451612903,73.9,79.03225806451613,438.40000000000003,49.46666666666667
East,1980,118.0,143.0,165.0,187.0,29.0,1259.2,0.7847747249962049,26.0,10.184615384615386,10.7,71.26923076923077,158.39999999999998,3.9,30.0,13.906666666666665,48.2,73.8,257.6,24.799999999999997,8.0,15.05,27.699999999999996,73.625,120.0,20.0,15.0,14.986666666666666,35.9,72.93333333333334,168.0,24.799999999999997,31.0,13.845161290322578,49.2,73.93548387096774,281.6,24.799999999999997
