model,smoother,w,rmse
mech,roll_k5,0.0,6.8824249371589605
mech,roll_k5,0.1,6.81652143099447
mech,roll_k5,0.2,6.768299100757844
mech,roll_k5,0.3,6.738137569830788
mech,roll_k5,0.4,6.726279803661461
mech,roll_k5,0.5,6.7328225120565985
mech,roll_k5,0.6,6.757712250096284
mech,roll_k5,0.7,6.800747578456343
mech,roll_k5,0.8,6.86158708253356
mech,roll_k5,0.9,6.939762521227668
mech,roll_k5,1.0,7.034695963964197
mech,roll_k8,0.0,7.100135221531409
mech,roll_k8,0.1,7.024533276697958
mech,roll_k8,0.2,6.963688744456663
mech,roll_k8,0.3,6.917991015225249
mech,roll_k8,0.4,6.887741576644084
mech,roll_k8,0.5,6.8731444004440325
mech,roll_k8,0.6,6.874299197366097
mech,roll_k8,0.7,6.891198048473908
mech,roll_k8,0.8,6.923725674411313
mech,roll_k8,0.9,6.971663321513997
mech,roll_k8,1.0,7.034695963964197
mech,ewma_a30,0.0,6.954742789654489
mech,ewma_a30,0.1,6.8976633293001175
mech,ewma_a30,0.2,6.854752767931818
mech,ewma_a30,0.3,6.826278311462484
mech,ewma_a30,0.4,6.812420981750477
mech,ewma_a30,0.5,6.813269967542898
mech,ewma_a30,0.6,6.828819783800619
mech,ewma_a30,0.7,6.858970447494896
mech,ewma_a30,0.8,6.903530656886138
mech,ewma_a30,0.9,6.96222374191623
mech,ewma_a30,1.0,7.034695963964197
mech,ewma_a50,0.0,7.151272515760084
mech,ewma_a50,0.1,7.046919329067413
mech,ewma_a50,0.2,6.962036037329193
mech,ewma_a50,0.3,6.89734150660419
mech,ewma_a50,0.4,6.853407491996054
mech,ewma_a50,0.5,6.830634594453026
mech,ewma_a50,0.6,6.8292345100675345
mech,ewma_a50,0.7,6.84922034563237
mech,ewma_a50,0.8,6.890406012095335
mech,ewma_a50,0.9,6.9524147602816955
mech,ewma_a50,1.0,7.034695963964197
all,roll_k5,0.0,6.8824249371589605
all,roll_k5,0.1,6.815058010926171
all,roll_k5,0.2,6.802243812454752
all,roll_k5,0.3,6.8442887571315625
all,roll_k5,0.4,6.940195877138094
all,roll_k5,0.5,7.0877790280327035
all,roll_k5,0.6,7.283897775403247
all,roll_k5,0.7,7.524758107072751
all,roll_k5,0.8,7.806219626203093
all,roll_k5,0.9,8.12406349373318
all,roll_k5,1.0,8.474196891919997
all,roll_k8,0.0,7.100135221531409
all,roll_k8,0.1,7.032885813420265
all,roll_k8,0.2,7.0141151595694
all,roll_k8,0.3,7.044210813519894
all,roll_k8,0.4,7.122553362765071
all,roll_k8,0.5,7.247578404686461
all,roll_k8,0.6,7.4169255736615805
all,roll_k8,0.7,7.627643351973718
all,roll_k8,0.8,7.8764120734696625
all,roll_k8,0.9,8.159752269757002
all,roll_k8,1.0,8.474196891919997
all,ewma_a30,0.0,6.954742789654489
all,ewma_a30,0.1,6.90356340262443
all,ewma_a30,0.2,6.9013411314330275
all,ewma_a30,0.3,6.948122951223072
all,ewma_a30,0.4,7.042932418585737
all,ewma_a30,0.5,7.183868243138141
all,ewma_a30,0.6,7.368284073739355
all,ewma_a30,0.7,7.5930124998200155
all,ewma_a30,0.8,7.854594122427623
all,ewma_a30,0.9,8.14948097784612
all,ewma_a30,1.0,8.474196891919997
all,ewma_a50,0.0,7.151272515760084
all,ewma_a50,0.1,7.04406463371745
all,ewma_a50,0.2,6.9924635440581175
all,ewma_a50,0.3,6.9976994896640266
all,ewma_a50,0.4,7.0596460082624555
all,ewma_a50,0.5,7.176834765965939
all,ewma_a50,0.6,7.346622668658587
all,ewma_a50,0.7,7.565469178774608
all,ewma_a50,0.8,7.829261461721558
all,ewma_a50,0.9,8.133627607573247
all,ewma_a50,1.0,8.474196891919997
